cn	en	alt	pos	note	source	lock
裸铜	plain copper				glossary-20260130	0
触点	contact		名词		glossary-20260130	0
设计	Design				glossary-20260130	0
转圈	rotation		名词	注意不用turn	glossary-20260130	0
过载	overload				glossary-20260130	0
重量	Weight				glossary-20260130	0
铜焊	brazed				glossary-20260130	0
铜线	copper leads				glossary-20260130	0
铭牌	Nameplate		名词		glossary-20260130	0
锁片	locking tab	lock washer			glossary-20260130	0
阀杆	valve stem				glossary-20260130	0
阻尼	damper				glossary-20260130	0
隔板	Barrier				glossary-20260130	0
顶盖	top cover	head cover		If the subject is the OLTC, use OLTC head cover.	os-lock	1
鼓型	drum type	drum			os-lock	1
鼓式	drum type	drum		WSG.	os-lock	1
